title,description,department
Flexi-time arrangement request,Employee with school-going children is requesting a flexible work timing arrangement to shift their hours from 10 AM to 7 PM instead of the standard 9 to 6.,HR
Application crashing after update [Follow-up #491],An internally developed application started crashing for all users immediately after a scheduled maintenance update was deployed last night.,IT Support
Scheduled ticket not running automatically [Follow-up #359],A critical automated report generation ticket that is scheduled to run every Monday morning has not been executing for the past 3 weeks.,IT Support
Remote work productivity concerns,Manager is raising concerns about measurable productivity decline in the fully remote team and requesting guidance on policy or tooling changes.,Manager
Live order tracking map not loading [Ref #1087],The live map tracking feature for the customer's current delivery is not loading. Only a static status message is shown without any location updates.,Customer Support
Account password reset link expired [Follow-up #295],"Customer requested a password reset link but by the time they opened the email, the link had already expired. Requesting a new reset link.",Customer Support
Noise complaint from neighboring office [Ref #1083],The neighboring office unit has filed a formal noise complaint about sound levels during company events. Requesting operations to address the issue.,Operations
Hard disk making unusual noise [Follow-up #520],Employee's laptop hard disk is making a clicking noise during operation. Data loss is a concern and backup needs to be performed immediately.,IT Support
Office telephone directory outdated [Ref #1097],The internal telephone directory used by reception and all staff is outdated. Many extensions and desk numbers have changed following the floor reorganization.,Operations
Voice assistant integration not working [Follow-up #14],Customer is unable to connect their account with their home voice assistant device. The skill authorization process keeps failing with a timeout error.,Customer Support
Order confirmation email going to spam [Follow-up #197],All order confirmation and shipping notification emails from the platform are automatically going to the customer's spam folder despite being marked as safe.,Customer Support
Wrong cost center assigned to expense [Ref #1042],A departmental expense was charged to the wrong cost center in the accounting system. Requesting reclassification to the correct cost center.,Finance
Intercompany service level agreement [Ref #1079],Two business units need to formalize their service exchange with an internal SLA document. Requesting management approval of the proposed terms.,Manager
Wrong name on personalized product [Follow-up #599],Customer ordered a personalized item with a specific name engraved but the delivered product has a different name on it. Requesting replacement.,Customer Support
Approval for hiring freeze exception [Case #2072],Department urgently needs to hire a replacement for a critical role vacated due to sudden resignation during the company-wide hiring freeze.,Manager
Office signage update required,"After the recent rebranding, all internal and external office signage needs to be updated to reflect the new logo and brand colors.",Operations
Server room temperature alarm triggered,Automated monitoring system triggered a temperature alarm for the server room. Physical inspection found one cooling unit is not functioning.,IT Support
In-store pickup not ready when arrived [Follow-up #223],Customer selected in-store pickup with a confirmed ready notification but the item was not ready when they arrived at the store location.,Customer Support
Wishlist items disappeared [Ref #1046],Customer's saved wishlist with over 30 items has disappeared from their account after a recent app update. Items cannot be recovered from the app.,Customer Support
Social media login not working [Follow-up #428],Customer is trying to log in using their Google account but the OAuth authentication is failing with a generic error message on the login page.,Customer Support
Scheduled ticket not running automatically [Follow-up #413],A critical automated report generation ticket that is scheduled to run every Monday morning has not been executing for the past 3 weeks.,IT Support
Asset tagging for new purchases,Fifteen new laptops and eight office chairs purchased last month have not been tagged and registered in the fixed asset register as required.,Operations
Office temperature too cold in winter [Follow-up #468],Employees on the north-facing side of the office are consistently complaining about the office temperature being uncomfortably cold during morning hours.,Operations
Accessibility feature not working on app,Customer with a disability reports that the screen magnification and high contrast mode features on the app have stopped working after the latest update.,Customer Support
Bereavement leave policy application,Employee lost an immediate family member and is applying for bereavement leave. Requesting HR to confirm the number of entitled days and process.,HR
Interest income tax treatment query [Follow-up #575],Finance team needs guidance on the tax treatment of interest income earned on surplus funds deposited in a short-term fixed deposit.,Finance
Client contract dispute resolution [Follow-up #383],A long-term client is disputing the terms of their renewal contract. Senior management needs to be involved before the legal team is engaged.,Manager
Gift wrapping not done despite paid request,Customer paid for gift wrapping at checkout but the item arrived in standard packaging without any gift wrap or message card.,Customer Support
ESIC contribution not deducted properly [Ref #1079],Employee's ESIC deduction for the month appears incorrect. The amount deducted does not match the statutory rate applied to their gross salary.,Finance
Visitor management system not working [Follow-up #287],The digital visitor registration kiosk at the reception has been malfunctioning for three days. Visitors are being managed manually which is causing delays.,Operations
Wishlist items disappeared,Customer's saved wishlist with over 30 items has disappeared from their account after a recent app update. Items cannot be recovered from the app.,Customer Support
Regulatory compliance deadline approaching [Follow-up #544],A mandatory regulatory compliance submission is due in 21 days. Several departments have not yet provided the required data. Escalation needed.,Manager
Campus recruitment drive planning [Case #2034],HR is initiating the planning for the annual campus recruitment drive at 5 engineering colleges scheduled for next semester.,HR
International expansion feasibility report [Ref #1046],Strategy team has completed a feasibility report for expanding operations to Southeast Asia. Requesting management review and discussion.,Manager
Cloud storage quota exceeded [Follow-up #424],Employee's cloud storage account has reached its maximum quota and they are unable to save or sync new files. Requesting a quota increase.,IT Support
Relocation of server room equipment [Ref #1052],IT team needs operations support to safely move server racks during the weekend office renovation. Requires coordination and heavy equipment.,Operations
Data privacy policy update approval [Follow-up #426],Legal team has prepared an updated data privacy policy to comply with new regulations. Requesting senior management review and formal approval.,Manager
Application crashing after update [Follow-up #28],An internally developed application started crashing for all users immediately after a scheduled maintenance update was deployed last night.,IT Support
Team lead promotion recommendation [Ref #1071],Manager is submitting a formal recommendation for a team lead's promotion to senior manager based on 2 years of consistent high performance.,Manager
Noise complaint from neighboring office [Case #2031],The neighboring office unit has filed a formal noise complaint about sound levels during company events. Requesting operations to address the issue.,Operations
Chemical storage compliance issue [Ref #1056],The cleaning chemicals storage area in the basement does not comply with the latest fire safety regulations. Immediate corrective action required.,Operations
Team lead promotion recommendation [Follow-up #354],Manager is submitting a formal recommendation for a team lead's promotion to senior manager based on 2 years of consistent high performance.,Manager
New hire buddy program enrollment [Ref #1047],Manager requesting HR to assign a buddy from the existing team to a new joiner starting next week to facilitate faster onboarding and integration.,HR
IT system decommission approval [Ref #1055],IT is requesting management approval to decommission three legacy systems that have been replaced by the new ERP. Data archival plan is ready.,Manager
Bereavement leave policy application [Follow-up #347],Employee lost an immediate family member and is applying for bereavement leave. Requesting HR to confirm the number of entitled days and process.,HR
Lost and found item management [Ref #1090],A laptop bag was found in the cafeteria yesterday morning. No one has claimed it. Requesting operations to update the lost and found log and post an internal notice.,Operations
Dress code policy violation complaint [Follow-up #333],Manager has received multiple complaints from team members about a colleague consistently violating the office dress code policy. Requesting HR intervention.,HR
Noise complaint from neighboring office [Follow-up #161],The neighboring office unit has filed a formal noise complaint about sound levels during company events. Requesting operations to address the issue.,Operations
Rent agreement not submitted by employee [Case #2106],HR flagged that the employee claiming HRA has not submitted a valid rent agreement for the current financial year as required for exemption.,Finance
Retirement planning documentation [Case #2137],Employee planning to retire in 6 months is requesting HR to provide a checklist of all retirement-related documentation and processes to be completed.,HR
International expansion feasibility report [Ref #1081],Strategy team has completed a feasibility report for expanding operations to Southeast Asia. Requesting management review and discussion.,Manager
Whistleblower complaint investigation [Ref #1039],An anonymous whistleblower complaint has been received regarding financial irregularities in a branch. Requesting management to initiate a formal investigation.,Manager
Temporary staff workstation setup [Follow-up #400],"Three temporary staff members are joining next Monday for a 3-month project. Workstations, access cards, and parking spaces need to be arranged.",Operations
Roof terrace access request for event [Ref #1089],HR team requesting access to the building rooftop terrace for a company celebration event scheduled for next Friday evening for 50 employees.,Operations
Product color different from website image [Follow-up #30],The product delivered is a noticeably different shade of color compared to what was shown in the product images on the website. Requesting exchange.,Customer Support
Risk register update and review [Follow-up #255],Quarterly risk register review is due. Risk committee requesting management to review updated risk ratings and approve the mitigation action owners.,Manager
Customer loyalty program redesign,Marketing has proposed a complete redesign of the loyalty rewards program with an estimated annual cost impact of INR 25 lakhs. Awaiting approval.,Manager
Promotion criteria clarification [Ref #1100],Employee asks HR to clarify the specific criteria and process used to evaluate candidates for the senior analyst promotion that was recently announced.,HR
Provident fund contribution mismatch [Follow-up #378],Employee noticed their PF contribution shown in the payslip does not match the amount actually deposited in their EPFO account this month.,Finance
Revenue recognition timing query [Ref #1092],Sales team has a query about whether revenue from a long-term service contract should be recognized upfront or spread over the service period.,Finance
Annual leave carry forward approval [Follow-up #591],Employee has 8 unused leave days approaching the carry-forward deadline. Requesting approval to carry them forward to the next year due to project demands.,HR
Application crashing after update [Case #2027],An internally developed application started crashing for all users immediately after a scheduled maintenance update was deployed last night.,IT Support
Accounts payable aging report request,Audit committee is requesting a full accounts payable aging report showing all outstanding vendor payments categorized by overdue period.,Finance
Staff locker allocation issue [Case #2047],Several employees have been waiting for locker allocation for over a month. New lockers were ordered but have not yet been installed in the locker room.,Operations
SSL certificate expiry warning [Follow-up #458],Development team received an automated alert that an SSL certificate for an internal application will expire in 14 days. Renewal needs to be initiated.,IT Support
Application crashing after update,An internally developed application started crashing for all users immediately after a scheduled maintenance update was deployed last night.,IT Support
Cart items disappearing before checkout [Ref #1060],"Customer adds items to their cart but when they return to complete the purchase, all items have been removed from the cart automatically.",Customer Support
Cloud storage quota exceeded [Follow-up #418],Employee's cloud storage account has reached its maximum quota and they are unable to save or sync new files. Requesting a quota increase.,IT Support
Provident fund contribution mismatch,Employee noticed their PF contribution shown in the payslip does not match the amount actually deposited in their EPFO account this month.,Finance
Unplanned executive travel approval,Senior executive needs to travel internationally on short notice for an urgent client meeting. Standard 14-day pre-approval process needs to be expedited.,Manager
Coupon applied but full price charged [Follow-up #389],Customer's coupon was accepted and showed a discounted total at checkout but the final charge on their card was the full undiscounted price.,Customer Support
Printing costs too high [Ref #1049],Monthly printing costs have doubled over the past quarter. Requesting operations to investigate usage patterns and implement cost reduction measures.,Operations
Performance improvement plan initiation [Ref #1090],Manager requesting HR guidance on initiating a formal performance improvement plan for an underperforming team member after verbal counseling failed.,HR
Mobile app push notifications not arriving,Employees are not receiving push notifications from the company's internal mobile application despite notifications being enabled in device settings.,IT Support
Language preference not saved [Ref #1045],Customer has changed their account language preference to Tamil multiple times but the platform keeps reverting back to English after each session.,Customer Support
Skip-level meeting request,Employee wants to arrange a skip-level meeting with their manager's manager to discuss career growth concerns that they feel cannot be raised directly.,HR
Cheque payment bounced unexpectedly [Ref #1078],A cheque issued to a vendor was returned by the bank with a 'funds insufficient' notice despite adequate balance in the account. Requesting investigation.,Finance
New financial year budget template needed [Follow-up #105],Department heads are requesting the standardized budget template for next financial year planning. Previous year's template is outdated.,Finance
Revenue recognition timing query [Ref #1057],Sales team has a query about whether revenue from a long-term service contract should be recognized upfront or spread over the service period.,Finance
Password complexity policy complaint,Multiple employees are complaining that the new password policy requiring 16 characters with special characters is causing frequent lockouts.,IT Support
Phone support hold time too long [Follow-up #61],Customer waited on hold for 45 minutes without reaching an agent. This is the third time this week they have experienced excessive wait times on the support line.,Customer Support
Approval for extended payment terms to client [Follow-up #547],Key enterprise client has requested 90-day payment terms instead of the standard 30 days. Finance and management approval needed before agreeing.,Manager
Ergonomic assessment request [Ref #1085],Employee with recurring back pain is requesting a formal ergonomic assessment of their workstation by a certified ergonomics consultant.,Operations
Tracking number not updating [Follow-up #68],Customer's shipment tracking number has not shown any movement for 5 days. The courier website shows the status as 'picked up' with no further updates since then.,Customer Support
Sales territory redistribution approval,Sales director is proposing a redistribution of sales territories following organizational changes. Needs management approval before communication.,Manager
Approval for new office location lease [Follow-up #148],Facilities team has identified a suitable office space for the new regional office. Requesting management approval to proceed with lease negotiations.,Manager
Stock option exercise tax withholding query,Employee plans to exercise 500 vested stock options next month and needs clarification on the withholding tax amount that will be deducted.,Finance
Employee wellness program enrollment [Case #2065],Employee requesting enrollment in the company-sponsored mental wellness program. Details on available sessions and appointment booking process needed.,HR
Office temperature too cold in winter [Ref #1072],Employees on the north-facing side of the office are consistently complaining about the office temperature being uncomfortably cold during morning hours.,Operations
Regulatory compliance deadline approaching [Ref #1042],A mandatory regulatory compliance submission is due in 21 days. Several departments have not yet provided the required data. Escalation needed.,Manager
Overdue receivables legal action approval [Case #2169],"Three client invoices totaling INR 4,20,000 are over 120 days overdue. Requesting management approval to initiate legal recovery proceedings.",Finance
Imprest account reconciliation overdue,The imprest cash account for the regional office has not been reconciled for two months. Finance team needs the account holder to submit vouchers.,Finance
Accessibility feature not working on app [Follow-up #590],Customer with a disability reports that the screen magnification and high contrast mode features on the app have stopped working after the latest update.,Customer Support
Workstation hard drive encryption needed,IT security policy requires full disk encryption on all employee laptops. Several devices flagged in the compliance report have not been encrypted yet.,IT Support
Internal DNS resolution failing [Follow-up #143],Some workstations are unable to resolve internal hostnames for company servers. External DNS works fine but internal name resolution is failing.,IT Support
Shared meeting room double booking [Ref #1061],Meeting Room C has been double-booked for the same time slot next Tuesday. The booking system allowed both bookings and both teams are in conflict.,Operations
Unplanned executive travel approval [Follow-up #136],Senior executive needs to travel internationally on short notice for an urgent client meeting. Standard 14-day pre-approval process needs to be expedited.,Manager
Subscription pause feature not working [Follow-up #31],Customer is trying to pause their subscription for 2 months using the account settings but the pause option is greyed out and unresponsive.,Customer Support
Order split into multiple deliveries [Follow-up #224],Customer placed a single order but it has been split into three separate deliveries with different arrival dates. Was not informed of this at checkout.,Customer Support
Server room temperature alarm triggered [Case #2049],Automated monitoring system triggered a temperature alarm for the server room. Physical inspection found one cooling unit is not functioning.,IT Support
New product feature prioritization [Follow-up #8],Product managers are requesting a management decision on prioritizing between two major features for the next development sprint given limited resources.,Manager
Capital expenditure approval pending [Ref #1038],"Project team is requesting approval for capital expenditure of INR 3,50,000 for new lab equipment. Business case and ROI analysis are attached.",Finance
Voice assistant integration not working [Ref #1100],Customer is unable to connect their account with their home voice assistant device. The skill authorization process keeps failing with a timeout error.,Customer Support
Mobile app push notifications not arriving [Follow-up #135],Employees are not receiving push notifications from the company's internal mobile application despite notifications being enabled in device settings.,IT Support
Phone extension number change needed [Case #2148],Employee moved to a new desk location and needs their VOIP phone extension number updated to reflect the new seating assignment.,IT Support
Workspace redesign budget approval [Case #2093],Facilities team has presented three workspace redesign options with different cost profiles. Requesting management decision on preferred approach.,Manager
Subscription plan downgrade not applied,Customer downgraded their subscription plan two billing cycles ago but continues to be charged at the higher plan rate without any adjustment.,Customer Support
Scheduled ticket not running automatically,A critical automated report generation ticket that is scheduled to run every Monday morning has not been executing for the past 3 weeks.,IT Support
SSL certificate expiry warning [Follow-up #391],Development team received an automated alert that an SSL certificate for an internal application will expire in 14 days. Renewal needs to be initiated.,IT Support
Collaboration tool integration request [Ref #1069],Team requesting integration between their project management tool and the company's Slack workspace to receive automated ticket update notifications.,IT Support
Remote work productivity concerns [Follow-up #112],Manager is raising concerns about measurable productivity decline in the fully remote team and requesting guidance on policy or tooling changes.,Manager
Form 16 not issued within deadline,"The financial year ended two months ago and the employee has not received their Form 16 certificate, which is required for filing their income tax return.",Finance
Employee opinion survey results review [Ref #1054],Annual employee opinion survey results are ready. Requesting a management review session to discuss findings and agree on action points.,Manager
Security incident at entrance gate [Ref #1039],An unauthorized individual attempted to enter the office premises yesterday evening. CCTV footage has been preserved. Formal report needs to be filed.,Operations
Promotion criteria clarification [Ref #1065],Employee asks HR to clarify the specific criteria and process used to evaluate candidates for the senior analyst promotion that was recently announced.,HR
Fixed deposit maturity funds not credited [Follow-up #350],A company fixed deposit matured last week but the principal and interest amount have not been credited back to the operating account.,Finance
Project cost overrun approval [Follow-up #194],An infrastructure project has exceeded its approved budget by 18 percent. Requesting finance committee approval for the additional expenditure.,Finance
Complaint about noisy HVAC unit [Ref #1053],The HVAC unit near the finance department makes a loud vibrating noise that disrupts concentration during quiet work periods. Maintenance is needed.,Operations
Reconciliation of advance payments needed [Case #2026],Multiple employee travel advances were issued last quarter and the reconciliation against actual expenses has not been completed. Audit is approaching.,Finance
Noise complaint from neighboring office [Ref #1048],The neighboring office unit has filed a formal noise complaint about sound levels during company events. Requesting operations to address the issue.,Operations
Pantry restocking schedule not followed [Ref #1038],"The pantry is frequently running out of tea, coffee and sugar before the scheduled restocking day. Supply schedule needs to be revised.",Operations
No-objection certificate request [Ref #1044],Employee needs an NOC from HR to pursue a part-time evening MBA program at a local institution while continuing their full-time employment.,HR
Shared meeting room double booking [Case #2059],Meeting Room C has been double-booked for the same time slot next Tuesday. The booking system allowed both bookings and both teams are in conflict.,Operations
Intercompany service level agreement [Follow-up #496],Two business units need to formalize their service exchange with an internal SLA document. Requesting management approval of the proposed terms.,Manager
Asset tagging for new purchases [Follow-up #244],Fifteen new laptops and eight office chairs purchased last month have not been tagged and registered in the fixed asset register as required.,Operations
Network switch port failure suspected [Follow-up #449],A cluster of 6 workstations on the same network switch port are intermittently losing network connectivity. Switch port failure is suspected.,IT Support
Gift wrapping not done despite paid request [Ref #1074],Customer paid for gift wrapping at checkout but the item arrived in standard packaging without any gift wrap or message card.,Customer Support
Employee monitoring software query [Follow-up #482],HR is querying IT about whether the company's remote monitoring software is configured in compliance with the current employee privacy policy.,IT Support
Incoming courier not being logged [Case #2181],The mailroom staff are not logging incoming courier packages into the tracking system. Several packages have been misplaced as a result.,Operations
Approval for third-party security audit [Follow-up #353],IT security team is recommending an external penetration test and security audit. Requesting management approval for vendor engagement and budget.,Manager
Sales territory redistribution approval [Follow-up #372],Sales director is proposing a redistribution of sales territories following organizational changes. Needs management approval before communication.,Manager
Intercompany service level agreement [Follow-up #546],Two business units need to formalize their service exchange with an internal SLA document. Requesting management approval of the proposed terms.,Manager
Helpdesk ticket system access needed [Follow-up #234],New support team member needs access to the internal helpdesk ticketing system. Account creation and role assignment required before they start.,IT Support
Secondment agreement documentation [Ref #1072],Employee has been verbally approved for a 6-month secondment to a partner organization but the formal secondment agreement has not been drafted yet.,HR
Office signage update required [Case #2009],"After the recent rebranding, all internal and external office signage needs to be updated to reflect the new logo and brand colors.",Operations
New product feature prioritization [Ref #1040],Product managers are requesting a management decision on prioritizing between two major features for the next development sprint given limited resources.,Manager
Departmental cost reduction target [Follow-up #318],Executive team has set a 15 percent departmental cost reduction target for next year. Manager requesting guidelines and support for planning.,Manager
Intercompany service level agreement [Ref #1044],Two business units need to formalize their service exchange with an internal SLA document. Requesting management approval of the proposed terms.,Manager
Project cost overrun approval [Follow-up #503],An infrastructure project has exceeded its approved budget by 18 percent. Requesting finance committee approval for the additional expenditure.,Finance
Overdue receivables legal action approval [Follow-up #170],"Three client invoices totaling INR 4,20,000 are over 120 days overdue. Requesting management approval to initiate legal recovery proceedings.",Finance
Office plant maintenance contract [Ref #1058],The indoor office plants have not been watered or maintained for three weeks since the maintenance contractor's last visit. Plants are visibly dying.,Operations
Language and communication training request [Follow-up #83],Manager requesting HR to arrange business communication and presentation skills training for a team member who has recently been promoted to a client-facing role.,HR
Data center access request [Ref #1096],Systems administrator requesting physical access to the data center for scheduled hardware maintenance. Security clearance form is attached.,IT Support
Strategic technology investment review [Ref #1061],CTO has submitted a proposal for a three-year technology investment roadmap. Requesting management council review and approval at the next board meeting.,Manager
Data center access request [Ref #1061],Systems administrator requesting physical access to the data center for scheduled hardware maintenance. Security clearance form is attached.,IT Support
Whistleblower complaint investigation [Follow-up #151],An anonymous whistleblower complaint has been received regarding financial irregularities in a branch. Requesting management to initiate a formal investigation.,Manager
Language preference not saved,Customer has changed their account language preference to Tamil multiple times but the platform keeps reverting back to English after each session.,Customer Support
Network switch port failure suspected [Case #2000],A cluster of 6 workstations on the same network switch port are intermittently losing network connectivity. Switch port failure is suspected.,IT Support
Payroll correction for terminated employee,A terminated employee was incorrectly included in last month's payroll run and their salary was credited. Requesting reversal and recovery process.,Finance
Asset tagging for new purchases [Case #2086],Fifteen new laptops and eight office chairs purchased last month have not been tagged and registered in the fixed asset register as required.,Operations
Accounts payable aging report request [Ref #1046],Audit committee is requesting a full accounts payable aging report showing all outstanding vendor payments categorized by overdue period.,Finance
Talent retention risk flagged [Follow-up #118],Three high performers have signaled interest in leaving. Manager is requesting management approval for retention bonuses to prevent their departure.,Manager
Job description update for promotion [Follow-up #40],Employee has been performing duties beyond their current job description for 8 months. Requesting HR to formally update the JD to reflect current responsibilities.,HR
Gift wrapping not done despite paid request [Ref #1039],Customer paid for gift wrapping at checkout but the item arrived in standard packaging without any gift wrap or message card.,Customer Support
New user account creation request [Follow-up #269],Manager requesting creation of a new Active Directory user account for a contractor joining next week. Access requirements list is attached.,IT Support
Phone support hold time too long [Follow-up #440],Customer waited on hold for 45 minutes without reaching an agent. This is the third time this week they have experienced excessive wait times on the support line.,Customer Support
Excel formulas not calculating [Follow-up #542],Formulas in a critical financial spreadsheet are not recalculating automatically when data is changed. Manual recalculate also fails to update the values.,IT Support
Ergonomic assessment request,Employee with recurring back pain is requesting a formal ergonomic assessment of their workstation by a certified ergonomics consultant.,Operations
Workstation not joining domain,A newly provisioned desktop computer cannot be joined to the company's Active Directory domain. Error message appears during domain join attempt.,IT Support
Interest income tax treatment query [Follow-up #481],Finance team needs guidance on the tax treatment of interest income earned on surplus funds deposited in a short-term fixed deposit.,Finance
PDF files not opening on workstation [Case #2179],All PDF files are failing to open on the employee's computer. The default PDF reader crashes immediately when any PDF is double-clicked.,IT Support
Late joining bonus query [Follow-up #363],New employee's offer letter mentioned a joining bonus payable after 90 days but the bonus has not been credited even though 120 days have passed.,HR
Office signage update required [Follow-up #10],"After the recent rebranding, all internal and external office signage needs to be updated to reflect the new logo and brand colors.",Operations
Account password reset link expired [Follow-up #163],"Customer requested a password reset link but by the time they opened the email, the link had already expired. Requesting a new reset link.",Customer Support
Workspace redesign budget approval,Facilities team has presented three workspace redesign options with different cost profiles. Requesting management decision on preferred approach.,Manager
Salary payment on holiday clarification [Ref #1069],Salary payment date falls on a bank holiday next month. Employees are asking whether salaries will be credited a day earlier or later.,Finance
Approval for new office location lease,Facilities team has identified a suitable office space for the new regional office. Requesting management approval to proceed with lease negotiations.,Manager
Shared mailbox access request [Ref #1037],Employee needs access to a shared team mailbox to monitor and respond to department inquiries. Manager approval has been obtained.,IT Support
Mobile app push notifications not arriving [Ref #1100],Employees are not receiving push notifications from the company's internal mobile application despite notifications being enabled in device settings.,IT Support
Power outage data recovery needed,An unexpected power outage yesterday caused an unsaved working document to be lost. Employee is requesting IT to attempt recovery from temporary files.,IT Support
Project portfolio review meeting,"Requesting a quarterly project portfolio review with all project managers to assess progress, risks and alignment with strategic priorities.",Manager
Imprest account reconciliation overdue [Follow-up #312],The imprest cash account for the regional office has not been reconciled for two months. Finance team needs the account holder to submit vouchers.,Finance
Wrong name on personalized product,Customer ordered a personalized item with a specific name engraved but the delivered product has a different name on it. Requesting replacement.,Customer Support
Conference room AV equipment outdated [Ref #1066],The audio visual equipment in the main conference room is outdated and causing issues during client presentations. Upgrade budget has been requested.,Operations
Office plant maintenance contract [Follow-up #583],The indoor office plants have not been watered or maintained for three weeks since the maintenance contractor's last visit. Plants are visibly dying.,Operations
Dress code policy violation complaint [Follow-up #169],Manager has received multiple complaints from team members about a colleague consistently violating the office dress code policy. Requesting HR intervention.,HR
Social media login not working,Customer is trying to log in using their Google account but the OAuth authentication is failing with a generic error message on the login page.,Customer Support
Background check consent form needed [Follow-up #536],Candidate selected for a senior role requires an enhanced background check but has not received the consent form to authorize the verification process.,HR
Return to work plan after medical leave [Ref #1099],Employee returning from 3-month medical leave needs a structured return-to-work plan with HR and their manager to ease back into full duties.,HR
Harassment complaint filing [Follow-up #127],Employee wants to file a formal harassment complaint against a colleague. Requesting HR to initiate the internal complaints committee process as per policy.,HR
Professional tax not deducted correctly [Follow-up #574],Professional tax deduction on the payslip does not match the applicable slab rate for the employee's salary band in the current state.,Finance
Strategic technology investment review [Follow-up #133],CTO has submitted a proposal for a three-year technology investment roadmap. Requesting management council review and approval at the next board meeting.,Manager
Internal audit expense variance finding [Follow-up #338],Internal audit has flagged a 28 percent variance between budgeted and actual marketing expenses for Q2. Finance needs to provide written explanation.,Finance
Complaint about noisy HVAC unit [Follow-up #518],The HVAC unit near the finance department makes a loud vibrating noise that disrupts concentration during quiet work periods. Maintenance is needed.,Operations
Automated email not being sent [Follow-up #284],A business-critical automated notification email that should trigger when a form is submitted has stopped sending. Last successful send was 4 days ago.,IT Support
Size exchange request for clothing item [Ref #1073],Customer received the correct item but the size does not fit. Requesting an exchange for a larger size. Item is unworn and tags are intact.,Customer Support
Workspace redesign budget approval [Ref #1094],Facilities team has presented three workspace redesign options with different cost profiles. Requesting management decision on preferred approach.,Manager
Revenue recognition timing query [Case #2153],Sales team has a query about whether revenue from a long-term service contract should be recognized upfront or spread over the service period.,Finance
Complaint about noisy HVAC unit [Follow-up #157],The HVAC unit near the finance department makes a loud vibrating noise that disrupts concentration during quiet work periods. Maintenance is needed.,Operations
Team manager communication complaint [Ref #1092],Employee is raising a concern about their manager's communication style which they find intimidating and creating a stressful work environment.,HR
Regulatory compliance deadline approaching,A mandatory regulatory compliance submission is due in 21 days. Several departments have not yet provided the required data. Escalation needed.,Manager
Salary advance repayment schedule query [Case #2071],Employee who took a salary advance six months ago is requesting a revised repayment schedule due to a change in their financial circumstances.,Finance
Kitchen exhaust fan not working [Follow-up #47],The exhaust fan in the office kitchen has stopped working. Cooking smells are spreading to the adjacent work area and employees are complaining.,Operations
Asset tagging for new purchases [Ref #1081],Fifteen new laptops and eight office chairs purchased last month have not been tagged and registered in the fixed asset register as required.,Operations
Tracking number not updating [Ref #1071],Customer's shipment tracking number has not shown any movement for 5 days. The courier website shows the status as 'picked up' with no further updates since then.,Customer Support
Replacement item also damaged [Follow-up #206],Customer received a replacement for a previously damaged item but the replacement is also damaged. Requesting a full refund instead of another replacement.,Customer Support
HR analytics data access request [Case #2021],People analytics team is requesting access to historical attrition and engagement data to build predictive models for workforce planning.,HR
Sales territory redistribution approval [Ref #1060],Sales director is proposing a redistribution of sales territories following organizational changes. Needs management approval before communication.,Manager
SIM card activation for work phone [Follow-up #510],New employee needs their company-issued SIM card activated with the corporate mobile plan. SIM has been issued but not yet activated.,IT Support
Approval for hiring freeze exception [Ref #1093],Department urgently needs to hire a replacement for a critical role vacated due to sudden resignation during the company-wide hiring freeze.,Manager
Accessibility feature not working on app [Follow-up #231],Customer with a disability reports that the screen magnification and high contrast mode features on the app have stopped working after the latest update.,Customer Support
Screen time-out happening too quickly [Follow-up #388],Employee's screen locks after 1 minute of inactivity which is disrupting work during reading and review tickets. Requesting timeout to be extended.,IT Support
Potable water quality concern raised [Ref #1041],An employee raised a concern about the taste and clarity of the water dispenser on the third floor. Water quality testing has been requested.,Operations
Printing costs too high [Follow-up #82],Monthly printing costs have doubled over the past quarter. Requesting operations to investigate usage patterns and implement cost reduction measures.,Operations
Harassment complaint filing [Ref #1042],Employee wants to file a formal harassment complaint against a colleague. Requesting HR to initiate the internal complaints committee process as per policy.,HR
New financial year budget template needed [Follow-up #488],Department heads are requesting the standardized budget template for next financial year planning. Previous year's template is outdated.,Finance
Return to work plan after medical leave [Ref #1064],Employee returning from 3-month medical leave needs a structured return-to-work plan with HR and their manager to ease back into full duties.,HR
License management audit request [Follow-up #227],IT manager requesting an audit of all currently installed software licenses across the organization to identify compliance gaps before renewal season.,IT Support
Sales territory redistribution approval [Ref #1095],Sales director is proposing a redistribution of sales territories following organizational changes. Needs management approval before communication.,Manager
Brand guideline violation by vendor [Ref #1083],A marketing vendor used the company logo in a manner that violates brand guidelines in published material. Requesting management guidance on response.,Manager
Digital download link not working [Ref #1076],Customer purchased a digital product but the download link in the confirmation email returns a 404 error. Unable to access purchased content.,Customer Support
Team manager communication complaint [Follow-up #382],Employee is raising a concern about their manager's communication style which they find intimidating and creating a stressful work environment.,HR
PDF files not opening on workstation [Ref #1073],All PDF files are failing to open on the employee's computer. The default PDF reader crashes immediately when any PDF is double-clicked.,IT Support
Joint venture partner selection [Follow-up #319],Business development team has shortlisted two joint venture partners for a new market entry. Requesting management decision on preferred partner.,Manager
Order confirmation email going to spam [Follow-up #139],All order confirmation and shipping notification emails from the platform are automatically going to the customer's spam folder despite being marked as safe.,Customer Support
Office signage update required [Case #2158],"After the recent rebranding, all internal and external office signage needs to be updated to reflect the new logo and brand colors.",Operations
Flexi-time arrangement request [Follow-up #416],Employee with school-going children is requesting a flexible work timing arrangement to shift their hours from 10 AM to 7 PM instead of the standard 9 to 6.,HR
